Ad group,Ad group ID
Acura | MDX,99357626786
Lexus | HS Hybrid,99357660706
Lexus | IS,99357660866
Lexus | IS 250 C,99357661106
Lexus | IS250,99357661586
Lexus | IS250C,99357661626
Lexus | IS350C,99357661826
Lexus | LS430,99357662066
Lexus | LX,99357662346
Lexus | LX 570,99357662386
Lexus | LX470,99357662546
Lexus | LX570,99357662586
Lexus | NX 200t,99357662786
Lexus | RC,99357663026
Lexus | RX Hybrid,99357663506
Lexus | RX350,99357663546
Lexus | SC430,99357663746
Lincoln | MKT,99357664066
Lincoln | Navigator L,99357664506
Lincoln | Town Car,99357664546
MINI | Cooper,99357664786
MINI | Cooper Clubman,99357664946
MINI | Cooper S Clubman,99357665226
MINI | Cooper S Paceman ALL4,99357665746
MINI | Coupe,99357665946
MINI | Hardtop 4 Door,99357666146
MINI | Paceman,99357666186
MINI | Roadster,99357666226
Mazda | B 2300,99357666386
Mazda | CX-3,99357666626
Mazda | CX-7,99357666706
Mazda | CX-9,99357666866
Mazda | MAZDA3,99357666946
Mazda | MAZDA5,99357667106
Mazda | MX-5 Miata,99357667426
Mercedes-Benz | AMG,99357667906
Mercedes-Benz | C-Class,99357668106
Mercedes-Benz | C300,99357668146
Mercedes-Benz | C63 AMG,99357668306
Mercedes-Benz | E-Class,99357668866
Mercedes-Benz | GLC,99357669346
Mercedes-Benz | GLE,99357669546
Mercedes-Benz | GLE-Class,99357669586
Mercedes-Benz | SLC43,99357670746
Mercedes-Benz | SLK-Class,99357670946
Mercedes-Benz | Sprinter 2500 Passenger,99357671426
Mercury | Grand Marquis,99357671506
Mercury | Mariner,99357671666
Mitsubishi | Endeavor,99357672226
Mitsubishi | Galant,99357672386
Mitsubishi | Lancer Sportback,99357672626
Mitsubishi | Mirage,99357672666
Nissan | 350Z,99357673186
Nissan | 370Z,99357673386
Nissan | GT-R,99357673866
Nissan | NV 3500 Passenger,99357674386
Nissan | NV Cargo,99357674546
Nissan | NV Passenger,99357674586
Nissan | NV1500 Cargo,99357674786
Nissan | NV2500 HD,99357675026
Nissan | NV3500 Passanger,99357675306
Nissan | Quest,99357675546
Nissan | Xterra,99357676226
Pontiac | G8,99357676466
Pontiac | Montana SV6,99357676546
Pontiac | Vibe,99357676786
Porsche | 718 Boxster,99357676946
Porsche | Cayenne,99357677186
Porsche | Cayman,99357677226
RAM | 3500,99357677666
RAM | 3500 DRW,99357677706
Saab | 5-9,99357678186
Saab | 9-7X,99357678466
Saab | 900,99357678626
Saturn | Astra,99357678666
